#, instance, dim, nVertices, nFaces, orientable, genus, index, q, QQLvTime, QQLvMemory, QQLvTrials, QQLvTimeA, QQLvMemoryA, QQLvTimeB, QQLvMemory, QQLvmaxLenBefore, QQLvmaxDegBefore, QQLvmaxLenAfter, QQLvmaxDegAfter, F2LvTime, F2LvMemory, F2LvTrials, F2LvTimeA, F2LvMemoryA, F2LvTimeB, F2LvMemory, F2LvmaxLenBefore, F2LvmaxDegBefore, F2LvmaxLenAfter, F2LvmaxDegAfter, F4LvTime, F4LvMemory, F4LvTrials, F4LvTimeA, F4LvMemoryA, F4LvTimeB, F4LvMemory, F4LvmaxLenBefore, F4LvmaxDegBefore, F4LvmaxLenAfter, F4LvmaxDegAfter, F3LvTime, F3LvMemory, F3LvTrials, F3LvTimeA, F3LvMemoryA, F3LvTimeB, F3LvMemory, F3LvmaxLenBefore, F3LvmaxDegBefore, F3LvmaxLenAfter, F3LvmaxDegAfter, F9LvTime, F9LvMemory, F9LvTrials, F9LvTimeA, F9LvMemoryA, F9LvTimeB, F9LvMemory, F9LvmaxLenBefore, F9LvmaxDegBefore, F9LvmaxLenAfter, F9LvmaxDegAfter, F5LvTime, F5LvMemory, F5LvTrials, F5LvTimeA, F5LvMemoryA, F5LvTimeB, F5LvMemory, F5LvmaxLenBefore, F5LvmaxDegBefore, F5LvmaxLenAfter, F5LvmaxDegAfter, F25LvTime, F25LvMemory, F25LvTrials, F25LvTimeA, F25LvMemoryA, F25LvTimeB, F25LvMemory, F25LvmaxLenBefore, F25LvmaxDegBefore, F25LvmaxLenAfter, F25LvmaxDegAfter, F7919LvTime, F7919LvMemory, F7919LvTrials, F7919LvTimeA, F7919LvMemoryA, F7919LvTimeB, F7919LvMemory, F7919LvmaxLenBefore, F7919LvmaxDegBefore, F7919LvmaxLenAfter, F7919LvmaxDegAfter, F62710561LvTime, F62710561LvMemory, F62710561LvTrials, F62710561LvTimeA, F62710561LvMemoryA, F62710561LvTimeB, F62710561LvMemory, F62710561LvmaxLenBefore, F62710561LvmaxDegBefore, F62710561LvmaxLenAfter, F62710561LvmaxDegAfter
06, 06_manifold_lex_d2_n7_o0_g1_03.mrdi, 2, 7, 18, 0, 1, 03, 1, 0.064327078, 8381792, 1, 0.000203071, 668240, 0.001591949, 5032, n/a, n/a, n/a, n/a, 1.309827095, 160349360, 1, 0.039699682, 51362640, 0.001669604, 5016, n/a, n/a, n/a, n/a, 1.846573635, 542559976, 1, 0.392382183, 416605392, 0.001577731, 5016, n/a, n/a, n/a, n/a, 1.304571311, 160347728, 1, 0.038049615, 51361008, 0.001626022, 5016, n/a, n/a, n/a, n/a, 1.858581122, 546306024, 1, 0.397020227, 419366512, 0.001687909, 5016, n/a, n/a, n/a, n/a, 1.304975166, 160348272, 1, 0.04016147, 51361008, 0.001664424, 5016, n/a, n/a, n/a, n/a, 1.854033536, 547953736, 1, 0.39821601, 420504896, 0.001704319, 5016, n/a, n/a, n/a, n/a, 1.31109335, 160350512, 1, 0.040685313, 51363792, 0.001682949, 5016, n/a, n/a, n/a, n/a, 2.374314242, 901078664, 1, 0.860789484, 763475968, 0.001686766, 5016, n/a, n/a, n/a, n/a
06, 06_manifold_lex_d2_n7_o0_g1_03.mrdi, 2, 7, 12, 0, 1, 03, 2, 0.113349477, 12604304, 1, 0.000366588, 1624544, 0.047054357, 3271240, n/a, n/a, n/a, n/a, 1.815210084, 590731376, 30, 0.049570028, 67505008, 0.494143469, 414244664, 6, 3, 414, 11, 2.797363531, 1309672072, 1, 0.796174372, 769539680, 0.527825097, 414119960, 6, 3, 414, 11, 1.365311891, 179757776, 48, 0.049493145, 67505008, 0.047463344, 3271064, n/a, n/a, n/a, n/a, 2.293061863, 903874576, 1, 0.786013985, 773758456, 0.047302744, 3271064, n/a, n/a, n/a, n/a, 1.367141114, 179757968, 1, 0.049047909, 67505008, 0.048396958, 3271064, n/a, n/a, n/a, n/a, 2.246674226, 906222968, 1, 0.699855172, 774348944, 0.046793017, 3271064, n/a, n/a, n/a, n/a, 1.374553092, 179758320, 1, 0.052829648, 67505008, 0.04824388, 3271064, n/a, n/a, n/a, n/a, 3.407950077, 1634347816, 1, 1.840861811, 1493464400, 0.044019692, 3271064, n/a, n/a, n/a, n/a
07, 07_manifold_lex_d2_n7_o1_g0_01.mrdi, 2, 7, 15, 1, 0, 01, 1, 0.131181238, 12589560, 1, 0.000156023, 558232, 0.067197255, 4322808, n/a, n/a, n/a, n/a, 1.364741145, 156746064, 5, 0.036541116, 43441008, 0.066632405, 4322616, n/a, n/a, n/a, n/a, 1.884428434, 478338104, 1, 0.364712989, 348062720, 0.064197443, 4322616, n/a, n/a, n/a, n/a, 1.366268691, 156745328, 4, 0.036404884, 43441008, 0.065819929, 4322616, n/a, n/a, n/a, n/a, 1.854384668, 481645056, 2, 0.334226323, 350400856, 0.064658729, 4322616, n/a, n/a, n/a, n/a, 1.367266119, 156745328, 4, 0.037422255, 43441008, 0.06619718, 4322616, n/a, n/a, n/a, n/a, 1.905894757, 483247032, 1, 0.380428044, 351391408, 0.064516155, 4322616, n/a, n/a, n/a, n/a, 1.374660296, 156745872, 1, 0.037454024, 43441008, 0.065988048, 4322616, n/a, n/a, n/a, n/a, 2.329218177, 774904264, 1, 0.748796544, 632976000, 0.065635586, 4322616, n/a, n/a, n/a, n/a
07, 07_manifold_lex_d2_n7_o1_g0_01.mrdi, 2, 7, 10, 1, 0, 01, 2, 0.095941238, 11612792, 1, 0.000371127, 1356096, 0.034783023, 2548176, n/a, n/a, n/a, n/a, 1.342545018, 168846040, 19, 0.045608421, 57316336, 0.035255579, 2548000, n/a, n/a, n/a, n/a, 2.177742696, 772427544, 1, 0.672526387, 643931000, 0.035551946, 2548000, n/a, n/a, n/a, n/a, 1.346442724, 168838184, 5, 0.045297948, 57308480, 0.035408637, 2548000, n/a, n/a, n/a, n/a, 2.133938691, 777213800, 2, 0.645143375, 647731272, 0.035116732, 2548000, n/a, n/a, n/a, n/a, 1.353950922, 168838088, 4, 0.045864685, 57308384, 0.035284797, 2548000, n/a, n/a, n/a, n/a, 2.150504173, 779174712, 1, 0.656671072, 649092520, 0.034865239, 2548000, n/a, n/a, n/a, n/a, 1.34728262, 168841624, 1, 0.0458496, 57311376, 0.035775839, 2548000, n/a, n/a, n/a, n/a, 3.098825217, 1385436736, 1, 1.60195665, 1246569680, 0.033031066, 2548000, n/a, n/a, n/a, n/a
08, 08_manifold_lex_d2_n7_o1_g0_02.mrdi, 2, 7, 15, 1, 0, 02, 1, 0.127191036, 12589624, 1, 0.000147086, 558296, 0.065633338, 4322808, n/a, n/a, n/a, n/a, 1.369604032, 156745328, 5, 0.036820751, 43441008, 0.066885268, 4322616, n/a, n/a, n/a, n/a, 1.891849037, 478450616, 3, 0.374830127, 348162416, 0.065278335, 4322616, n/a, n/a, n/a, n/a, 1.371877474, 156745328, 5, 0.037719164, 43441008, 0.066671459, 4322616, n/a, n/a, n/a, n/a, 1.887011948, 481733488, 2, 0.372656056, 350553336, 0.065459104, 4322616, n/a, n/a, n/a, n/a, 1.370293961, 156745328, 4, 0.036407231, 43441008, 0.066549009, 4322616, n/a, n/a, n/a, n/a, 1.90182263, 483367952, 1, 0.373675648, 351515880, 0.065112989, 4322616, n/a, n/a, n/a, n/a, 1.374552728, 156745872, 1, 0.037397973, 43441008, 0.066500103, 4322616, n/a, n/a, n/a, n/a, 2.270744654, 775939320, 1, 0.752642308, 635322656, 0.061989255, 4322616, n/a, n/a, n/a, n/a
08, 08_manifold_lex_d2_n7_o1_g0_02.mrdi, 2, 7, 10, 1, 0, 02, 2, 0.096973379, 11612776, 1, 0.000312707, 1356064, 0.035092556, 2548192, n/a, n/a, n/a, n/a, 1.352557161, 168846360, 19, 0.044801347, 57316656, 0.035507013, 2548000, n/a, n/a, n/a, n/a, 2.1608748, 772492336, 3, 0.675568473, 643926160, 0.03550533, 2548000, n/a, n/a, n/a, n/a, 1.349260934, 168850216, 5, 0.046565238, 57320512, 0.035459073, 2548000, n/a, n/a, n/a, n/a, 2.126124676, 777149512, 2, 0.64500219, 647752696, 0.034957892, 2548000, n/a, n/a, n/a, n/a, 1.353566469, 168848184, 4, 0.046113389, 57318480, 0.035624763, 2548000, n/a, n/a, n/a, n/a, 2.145314082, 779186240, 1, 0.644760467, 649103744, 0.035390904, 2548000, n/a, n/a, n/a, n/a, 1.345972546, 168841336, 1, 0.044673046, 57311632, 0.035663416, 2548000, n/a, n/a, n/a, n/a, 3.075487851, 1387274768, 1, 1.526849432, 1247125296, 0.032758955, 2548000, n/a, n/a, n/a, n/a
09, 09_manifold_lex_d2_n7_o1_g0_03.mrdi, 2, 7, 15, 1, 0, 03, 1, 0.130996087, 12589688, 1, 0.000154389, 558360, 0.067203795, 4322808, n/a, n/a, n/a, n/a, 1.370627268, 156745328, 12, 0.039108753, 43441008, 0.066206273, 4322616, n/a, n/a, n/a, n/a, 1.917177848, 478842208, 1, 0.384481309, 348523624, 0.065404744, 4322616, n/a, n/a, n/a, n/a, 1.367909492, 156745872, 1, 0.03734504, 43441008, 0.065629646, 4322616, n/a, n/a, n/a, n/a, 1.89594611, 482220200, 2, 0.378856813, 350990528, 0.064230761, 4322616, n/a, n/a, n/a, n/a, 1.372290734, 156745328, 2, 0.037619936, 43441008, 0.065693836, 4322616, n/a, n/a, n/a, n/a, 1.896967179, 483850840, 1, 0.367121187, 351996464, 0.06462636, 4322616, n/a, n/a, n/a, n/a, 1.367275903, 156745328, 1, 0.037310804, 43441008, 0.066151563, 4322616, n/a, n/a, n/a, n/a, 2.294871109, 777829752, 1, 0.768928494, 637200320, 0.061814472, 4322616, n/a, n/a, n/a, n/a
09, 09_manifold_lex_d2_n7_o1_g0_03.mrdi, 2, 7, 10, 1, 0, 03, 2, 0.095911625, 11613064, 1, 0.000312186, 1356352, 0.034769324, 2548192, n/a, n/a, n/a, n/a, 1.346883962, 168834712, 16, 0.021103217, 57288080, 0.036007009, 2548000, n/a, n/a, n/a, n/a, 2.169370554, 772916304, 18, 0.668976149, 644415840, 0.035312906, 2548000, n/a, n/a, n/a, n/a, 1.350102683, 168844536, 4, 0.04612039, 57314832, 0.035387707, 2548000, n/a, n/a, n/a, n/a, 2.148860973, 777782696, 3, 0.657737932, 648321576, 0.035449015, 2548000, n/a, n/a, n/a, n/a, 1.348599355, 168841000, 4, 0.044351745, 57311296, 0.035740041, 2548000, n/a, n/a, n/a, n/a, 2.132454539, 779794152, 1, 0.635523308, 649714088, 0.035164421, 2548000, n/a, n/a, n/a, n/a, 1.351002946, 168838952, 1, 0.04715156, 57309248, 0.035571806, 2548000, n/a, n/a, n/a, n/a, 3.088650494, 1390239920, 1, 1.541999216, 1250098144, 0.032911221, 2548000, n/a, n/a, n/a, n/a
10, 10_manifold_lex_d2_n7_o1_g0_04.mrdi, 2, 7, 15, 1, 0, 04, 1, 0.127727452, 12589640, 1, 0.000141325, 558312, 0.06557051, 4322808, n/a, n/a, n/a, n/a, 1.368989354, 156745328, 6, 0.038673998, 43441008, 0.066243182, 4322616, n/a, n/a, n/a, n/a, 1.908363448, 478362112, 1, 0.385418414, 348039080, 0.065066053, 4322616, n/a, n/a, n/a, n/a, 1.360294976, 156745328, 1, 0.013471675, 43424080, 0.064596883, 4322616, n/a, n/a, n/a, n/a, 1.859447117, 481646984, 2, 0.331164875, 350394576, 0.064377692, 4322616, n/a, n/a, n/a, n/a, 1.378040403, 156745328, 4, 0.039036397, 43441008, 0.067023166, 4322616, n/a, n/a, n/a, n/a, 1.898203852, 483203872, 1, 0.379500848, 351372744, 0.064363233, 4322616, n/a, n/a, n/a, n/a, 1.373969744, 156745520, 1, 0.037863426, 43441008, 0.065115897, 4322616, n/a, n/a, n/a, n/a, 2.271224017, 775118744, 1, 0.753479421, 634537072, 0.061199035, 4322616, n/a, n/a, n/a, n/a
10, 10_manifold_lex_d2_n7_o1_g0_04.mrdi, 2, 7, 10, 1, 0, 04, 2, 0.097140764, 11612888, 1, 0.000313729, 1356192, 0.034922777, 2548176, n/a, n/a, n/a, n/a, 1.348700516, 168839448, 16, 0.046505529, 57309744, 0.035228463, 2548000, n/a, n/a, n/a, n/a, 2.14021937, 772371704, 7, 0.649022914, 643882328, 0.035773495, 2548000, n/a, n/a, n/a, n/a, 1.351240844, 168842296, 4, 0.045406126, 57312592, 0.035146609, 2548000, n/a, n/a, n/a, n/a, 2.160645045, 777150312, 3, 0.661168215, 647694728, 0.03532149, 2548000, n/a, n/a, n/a, n/a, 1.35593693, 168842776, 9, 0.04567301, 57313072, 0.035333181, 2548000, n/a, n/a, n/a, n/a, 2.145136484, 779099584, 1, 0.657025149, 649082368, 0.035312523, 2548000, n/a, n/a, n/a, n/a, 1.351011885, 168840088, 1, 0.044741882, 57310384, 0.03538042, 2548000, n/a, n/a, n/a, n/a, 3.065098062, 1385967200, 1, 1.525822565, 1246152656, 0.032971828, 2548000, n/a, n/a, n/a, n/a
