#, instance, dim, nVertices, nFaces, orientable, genus, index, q, F4LvTime, F4LvMemory, F4LvTrials, F4LvTimeA, F4LvMemoryA, F4LvTimeB, F4LvMemory, F4LvmaxLenBefore, F4LvmaxDegBefore, F4LvmaxLenAfter, F4LvmaxDegAfter, F4LvfTime, F4LvfMemory, F4LvfTrials, F4LvfTimeA, F4LvfMemoryA, F4LvfTimeB, F4LvfMemory, F4LvfmaxLenBefore, F4LvfmaxDegBefore, F4LvfmaxLenAfter, F4LvfmaxDegAfter
21, 21_manifold_lex_d2_n8_o0_g1_09.mrdi, 2, 8, 21, 0, 1, 09, 1, 2.222184922, 778436672, 1, 0.644199172, 642413016, 0.11482601, 6346336, n/a, n/a, n/a, n/a, 2.289893865, 786595040, 1, 0.649351132, 642395688, 0.115009215, 6346336, n/a, n/a, n/a, n/a
21, 21_manifold_lex_d2_n8_o0_g1_09.mrdi, 2, 8, 14, 0, 1, 09, 2, 26.623805935, 16947435664, 3, 1.440812179, 1429445656, 23.728357044, 15388321824, 6, 3, 22238, 20, 39.644872765, 25245686880, 3, 1.456998405, 1429443928, 36.691340265, 23678426672, 6, 3, 1, 0
22, 22_manifold_lex_d2_n8_o0_g1_10.mrdi, 2, 8, 21, 0, 1, 10, 1, 2.234028842, 777905904, 2, 0.653461426, 641871832, 0.115948308, 6346336, n/a, n/a, n/a, n/a, 2.250644689, 786013408, 2, 0.607393169, 641863752, 0.113934328, 6346336, n/a, n/a, n/a, n/a
22, 22_manifold_lex_d2_n8_o0_g1_10.mrdi, 2, 8, 14, 0, 1, 10, 2, 6.596567059, 5492039872, 1, 1.417121108, 1428844504, 3.70275257, 3933513040, 6, 3, 7268, 18, 9.865627416, 9045249952, 1, 1.379394245, 1428847560, 6.968822665, 7478597312, 6, 3, 1, 0
23, 23_manifold_lex_d2_n8_o0_g1_11.mrdi, 2, 8, 21, 0, 1, 11, 1, 2.190766332, 777144448, 1, 0.578912211, 640030344, 0.114801271, 6346336, n/a, n/a, n/a, n/a, 2.24308871, 785115184, 1, 0.619301829, 640938760, 0.115623173, 6346336, n/a, n/a, n/a, n/a
23, 23_manifold_lex_d2_n8_o0_g1_11.mrdi, 2, 8, 14, 0, 1, 11, 2, 5.352416865, 4449649632, 1, 1.401921406, 1426989328, 2.490924404, 2892960088, 6, 3, 3414, 16, 8.832020107, 9066866392, 1, 1.418323773, 1426973248, 5.889116004, 7502059840, 6, 3, 1, 0
24, 24_manifold_lex_d2_n8_o0_g1_12.mrdi, 2, 8, 21, 0, 1, 12, 1, 2.189677505, 778409232, 1, 0.579362379, 641334920, 0.114609415, 6346336, n/a, n/a, n/a, n/a, 2.3082103, 786445152, 1, 0.682321658, 642261992, 0.120446815, 6346336, n/a, n/a, n/a, n/a
24, 24_manifold_lex_d2_n8_o0_g1_12.mrdi, 2, 8, 14, 0, 1, 12, 2, 16.314241497, 7307454872, 1, 1.430432765, 1429761744, 13.42717397, 5748003712, 6, 3, 18990, 20, 27.050137286, 9571517112, 1, 1.418042487, 1429769440, 24.12684433, 8004007648, 6, 3, 1, 0
25, 25_manifold_lex_d2_n8_o0_g1_13.mrdi, 2, 8, 21, 0, 1, 13, 1, 2.231587044, 779513136, 1, 0.615127519, 642112696, 0.114539898, 6346336, n/a, n/a, n/a, n/a, 2.281984875, 787380304, 1, 0.623578811, 642120168, 0.11878267, 6346336, n/a, n/a, n/a, n/a
25, 25_manifold_lex_d2_n8_o0_g1_13.mrdi, 2, 8, 14, 0, 1, 13, 2, 671.71157704, 29588232056, 1, 1.451993984, 1430637656, 668.800417714, 28027931608, 6, 3, 29282, 19, 206.926758027, 31745995664, 1, 1.417433138, 1430693512, 203.99691706, 30177488784, 6, 3, 1, 0
